tweet_text,is_there_an_emotion_directed_at_a_brand_or_product,target
wesley83 3g iphone 3 hrs tweeting riseaustin dead need upgrade plugin stations sxsw,Negative emotion,1.0
jessedee know fludapp awesome ipad iphone app youll likely appreciate design also theyre giving free ts sxsw,Positive emotion,0.0
swonderlin wait ipad 2 also sale sxsw,Positive emotion,0.0
sxsw hope years festival isnt crashy years iphone app sxsw,Negative emotion,1.0
sxtxstate great stuff fri sxsw marissa mayer google tim oreilly tech books conferences amp matt mullenweg wordpress,Positive emotion,0.0
sxsw starting ctia around corner googleio hop skip jump good time android fan,Positive emotion,0.0
beautifully smart simple idea rt madebymany thenextweb wrote hollergram ipad app sxsw http bitly ieavob,Positive emotion,0.0
counting days sxsw plus strong canadian dollar means stock apple gear,Positive emotion,0.0
excited meet samsungmobileus sxsw show sprint galaxy still running android 21 fail,Positive emotion,0.0
find amp start impromptu parties sxsw hurricaneparty http bitly gvlrin cant wait til android app comes,Positive emotion,0.0
foursquare ups game time sxsw http jmp grn7pk still prefer gowalla far best looking android app date,Positive emotion,0.0
got ta love sxsw google calendar featuring top parties show cases check rt hamsandwich via ischafer gthttp bitly axzwxb,Positive emotion,0.0
great sxsw ipad app madebymany http tinyurlcom 4nqv92l,Positive emotion,0.0
haha awesomely rad ipad app madebymany http bitly htdfim hollergram sxsw,Positive emotion,0.0
noticed dst coming weekend many iphone users hour late sxsw come sunday morning sxsw iphone,Negative emotion,1.0
added sxsw flights planely matching people planes airports also downloaded klm iphone app nicely done,Positive emotion,0.0
must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram http tco g4gzypv,Positive emotion,0.0
need buy ipad2 im austin sxsw sure ill need q austin apple store,Positive emotion,0.0
oh god sxsw app ipad pure unadulterated awesome easier browse events ipad website,Positive emotion,0.0
okay really yay new foursquare android app11 kthxbai sxsw,Positive emotion,0.0
photo installed sxsw iphone app really nice http tumblrcom x6t1pi6av7,Positive emotion,0.0
really enjoying changes gowalla 30 android looking forward seeing else amp foursquare sleeves sxsw,Positive emotion,0.0
rt laurieshook im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc,Positive emotion,0.0
rt haha awesomely rad ipad app madebymany http bitly htdfim hollergram sxsw via michaelpiliero,Positive emotion,0.0
someone started austin partnerhub group google groups presxsw great idea,Positive emotion,0.0
new 4sq3 looks like going rock update iphone android push tonight http bitly etsbzk sxsw keepaustinweird,Positive emotion,0.0
right gowalla 3 app android sweeeeet nice job team sxsw,Positive emotion,0.0
smart madebymany hollergram ipad app sxsw http tco a3xvwc6 may leave vuvuzela home,Positive emotion,0.0
must app ipad going sxsw http itunesapplecom us app hollergram id420666439mt8 hollergram,Positive emotion,0.0
best rt mention ha first line ipad2 sxsw quotpopupquot apple store event planner eventprofs pcma engage365,Positive emotion,0.0
mention false alarm google circles coming now\x89ûòand probably ever link google circles social sxsw,Negative emotion,1.0
mention great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad2,Positive emotion,0.0
ipad2 \x89û÷smartcover\x89ûª opens instant access waited get one link apple sxsw,Positive emotion,0.0
handheld \x89û÷hobo\x89ûª drafthouse launches \x89û÷hobo shotgun\x89ûª iphone app sxsw link,Positive emotion,0.0
hooray rt \x89ûïmention apple opening popup store austin sxsw mention link,Positive emotion,0.0
wooooo \x89ûïmention apple store downtown austin open til midnight sxsw\x89û\x9d,Positive emotion,0.0
\x89ûïmention mention talking link googles effort allow users open systems bettercloud sxsw\x89û\x9d,Positive emotion,0.0
link rt mention 1st stop sxsw chaos amp mention hunt austin java get spy game 4 chance 2 win ipad,Positive emotion,0.0
omfg rt mention heard apples popup store downtown austin pics already gowalla link sxsw ipad2,Positive emotion,0.0
rt mention line apple store insane sxsw,Negative emotion,1.0
attending mention ipad design headaches sxsw link,Negative emotion,1.0
boooo rt mention flipboard developing iphone version android says mention sxsw,Negative emotion,1.0
check mention mention amp mention line ipad 2 austin power sxswi sxsw link,Positive emotion,0.0
rt mention come party w google tonight sxsw link bands food art ice cream nifty interactive maps,Positive emotion,0.0
holla rt mention google party best ever get butt sxsw,Positive emotion,0.0
love mention iphone case sxsw cant get phone fail,Positive emotion,0.0
new post mention iphone app makes easy connect social networks people meet link sxsw,Positive emotion,0.0
nice mention iphone app behaving today crashes yesterday ridiculous sxsw,Positive emotion,0.0
nice rt mention hey apple fans get peek space thats slated popup sxsw apple store tomorrow link,Positive emotion,0.0
one thing mention great get great earth face google company love sxsw sxwsi,Positive emotion,0.0
thanks mention mention new speech ipad apps showcased sxsw conf link sxswh sxsh,Positive emotion,0.0
mention sxsw provide iphone chargers ive changed mind going next year,Negative emotion,1.0
xmas rt mention shiny new mention mention mention apps new garyvee book popup ipad 2 stores sxsw christmas nerds,Positive emotion,0.0
yai rt mention new ubersocial iphone app store includes uberguide sxsw sponsored cont link,Positive emotion,0.0
fast fun amp future mention google presenting sxsw search local mobile,Positive emotion,0.0
headline quotipad 2 musthave gadget sxswquot hmm could seen one coming link gadget,Positive emotion,0.0
know quotdatavizquot translates quotsatanicquot iphone im sayin sxsw,Negative emotion,1.0
mention quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy,Positive emotion,0.0
\x89ûïmention quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw\x89û\x9d,Positive emotion,0.0
kawasaki quotnot cs lewis level reasoning apples continued existence evidence existence godquot bawling sxsw,Positive emotion,0.0
kawasaki quotpagemaker saved applequot oh days sxsw jwtatl enchantment via mention,Positive emotion,0.0
spark android teamandroid award sxsw read link,Positive emotion,0.0
sxsw apple ipad 2s great thoughts w japan apac regions dealing w earthquake amp tsunami trauma sxswi,Positive emotion,0.0
sxsw apple schools marketing experts link,Positive emotion,0.0
temporary apple store def tent powerhouse gym sxsw link,Positive emotion,0.0
temporary apple store 6th congress sxsw along 10000 happy hipsters,Positive emotion,0.0
\x89ûïmention apple wins sxsw link opening temporary store downtown austin support ipad2 launch good,Positive emotion,0.0
ipad austin trending today fun sxsw nerdy nerds,Positive emotion,0.0
christian ipad iphone devs want talk u sxsw maybe wk together cool app mention,Positive emotion,0.0
apple ipad2 taken sxsw austin storm link mention excited part mobile,Positive emotion,0.0
haz ipad2 ifrom sxsw gr8 link,Positive emotion,0.0
stacks ipad2s waiting bought sxsw got mine hassle apple handled perfectly link,Positive emotion,0.0
smallbiz need reviews play google placeswe got app thatlink seo sxsw,Positive emotion,0.0
take sxsw rt mention major south korean director gets 130000 make movie entirely iphone link,Positive emotion,0.0
beautiful sxsw mention apple store sxsw pic link,Positive emotion,0.0
must sxsw app rt mention lovely review forbes sxsw ipad app holler gram link,Positive emotion,0.0
temporary sxsw apple store apple sneaky usual link,Positive emotion,0.0
\x89ûïmention sxsw beta testing interactive book ipad app moonbot studios louisiana cool app\x89û\x9d,Positive emotion,0.0
apple sxsw day one seeing ton ipad2,Positive emotion,0.0
\x89ûïmention sxsw ipad store sold everything except 64gig wifi white\x89û\x9d mention manage get,Positive emotion,0.0
\x89ûïmention sxsw ipad store sold everything except 64gig wifi white\x89û\x9d also known white jeans configuration,Positive emotion,0.0
offered sxsw ipad promo ninjafinder users fans sxsw sucks sxsw,Positive emotion,0.0
poursite sxsw learning lifechanging impact ipad real peoples actual lives bravo,Positive emotion,0.0
mention sxsw lonelyplanet austin guide iphone free limited time link lp travel,Positive emotion,0.0
apple sxsw store still ipad 2s short lines,Positive emotion,0.0
left sxsw tradeshow demo mention google theatre ok get see presenters using,Positive emotion,0.0
anyone sxsw want make quick hundred dollars new ipad2 ad hoc apple store gets hundred plus cost,Positive emotion,0.0
monday sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis mondays,Positive emotion,0.0
seriously sxsw testing mobile apps constant ipad crashes causing lost schedules sync wp7,Negative emotion,1.0
ready sxsw iphone apps 2 make ur blogging easier link sxsw sxswi,Positive emotion,0.0
ipad2 sxswa conflagration doofusness link,Negative emotion,1.0
attention sxswers link rumored popup temporary apple store sxsw ipad 2 launch needs,Positive emotion,0.0
went sxswi lousy ipad sxsw link,Positive emotion,0.0
winning picture android google sxsw link,Positive emotion,0.0
spent 1000 come sxsw youve already used ipad 1 wait couple city blocks ipad2 sxsw link,Negative emotion,1.0
behind 100s emails give 1 line iphone composed replies sxsw protip,Positive emotion,0.0
like 10pm night line around block popup apple stores selling ipad2s sxsw,Positive emotion,0.0
im 2 ipad 2s seen wild people say fast still pics terrible sxsw,Negative emotion,1.0
ipad 2 takes sxsw video mention link,Positive emotion,0.0
many ipad 2s snapping away keynote slides sxsw,Positive emotion,0.0
new post 3 iphone apps well using south southwest interactive link sxsw sxswi,Positive emotion,0.0
sweet new 3d google maps demo going ballroom sxsw,Positive emotion,0.0
35 million miles per day driving google maps navigation sxsw,Positive emotion,0.0
sxsw day 5 apple store theres still lineand growing link,Positive emotion,0.0
youre band sxsw want share track audience stage use frostwire android theres wifi available,Positive emotion,0.0
u iphone dont need caruse zimride etc share rides sxsw shareable,Positive emotion,0.0
picked mophie battery case 4 iphone prep sxsw lugging around laptop amp using phone huge win last year,Positive emotion,0.0
rumor monger good read å google circles preview mention sxsw link mention via mention socbiz fb,Positive emotion,0.0
hobo shotgun video game coming ipad iphone users yes please link sxsw,Positive emotion,0.0
build store less 24 hours one biggest launches companys history got apple sxsw ipad2,Positive emotion,0.0
read groupme sxswsounds like incredible app available android phones yet,Positive emotion,0.0
iphone alarms botch timechange many sxswers freak late flights missed panels behind bloody marys,Negative emotion,1.0
shouts ladies holding ipad 2s free sxsw shows take photos sipping free beer cc mention,Positive emotion,0.0
meant also wish sxsw dyac stupid iphone,Negative emotion,1.0
rumors apple store opening sxsw 6th amp congress signs point yes link,Positive emotion,0.0
picked ipad 2 sxsw pop apple store 15 minute wait,Positive emotion,0.0
brilliant enlightening game mechanics presentation mention google sxsw,Positive emotion,0.0
marketing sales genius link apple sxsw,Positive emotion,0.0
need sxsw ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charged people,Positive emotion,0.0
sxsw app iphone ridiculous personal planner next 5 days,Positive emotion,0.0
found app kyping iphones geolocation amp releasing background need patch mention batterykiller sxsw,Negative emotion,1.0
sxsw app iphone live rsvp events phone amp check sundayswaggereventbritecom 3 20 scoremore,Positive emotion,0.0
love app awesome rt mention must see android app sxsw quotbizzyquot link,Positive emotion,0.0
course apple built temp store austin texas understand concept corralling cattle sxsw pickmeupanipad2,Negative emotion,1.0
love apple didnt let something like retail store near sxsw keep away opening popup store link,Positive emotion,0.0
surprise apple opened popup store austin nerds town sxsw get new link cnet,Positive emotion,0.0
