tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
wesley83 3g iphone 3 hrs tweeting riseaustin dead need upgrade plugin stations sxsw,iPhone,Negative emotion
jessedee know fludapp awesome ipadiphone app youll likely appreciate design also theyre giving free ts sxsw,iPad or iPhone App,Positive emotion
swonderlin wait ipad 2 also sale sxsw,iPad,Positive emotion
sxsw hope years festival isnt crashy years iphone app sxsw,iPad or iPhone App,Negative emotion
sxtxstate great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,Google,Positive emotion
teachntech00 new ipad apps speechtherapy communication showcased sxsw conference httphtly49n4m iear edchat asd,,No emotion toward brand or product
nan,,No emotion toward brand or product
sxsw starting ctia around corner googleio hop skip jump good time android fan,Android,Positive emotion
beautifully smart simple idea rt madebymany thenextweb wrote hollergram ipad app sxsw httpbitlyieavob,iPad or iPhone App,Positive emotion
counting days sxsw plus strong canadian dollar means stock apple gear,Apple,Positive emotion
excited meet samsungmobileus sxsw show sprint galaxy still running android 21 fail,Android,Positive emotion
find amp start impromptu parties sxsw hurricaneparty httpbitlygvlrin cant wait til android app comes,Android App,Positive emotion
foursquare ups game time sxsw httpjmpgrn7pk still prefer gowalla far best looking android app date,Android App,Positive emotion
got ta love sxsw google calendar featuring top parties show cases check rt hamsandwich via ischafer gthttpbitlyaxzwxb,Other Google product or service,Positive emotion
great sxsw ipad app madebymany httptinyurlcom4nqv92l,iPad or iPhone App,Positive emotion
haha awesomely rad ipad app madebymany httpbitlyhtdfim hollergram sxsw,iPad or iPhone App,Positive emotion
holler gram ipad itunes app store httptcokfn3f5q via marcisken sxsw,,No emotion toward brand or product
noticed dst coming weekend many iphone users hour late sxsw come sunday morning sxsw iphone,iPhone,Negative emotion
added sxsw flights planely matching people planesairports also downloaded klm iphone app nicely done,iPad or iPhone App,Positive emotion
must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram httptcog4gzypv,iPad or iPhone App,Positive emotion
need buy ipad2 im austin sxsw sure ill need q austin apple store,iPad,Positive emotion
oh god sxsw app ipad pure unadulterated awesome easier browse events ipad website,iPad or iPhone App,Positive emotion
okay really yay new foursquare android app11 kthxbai sxsw,Android App,Positive emotion
photo installed sxsw iphone app really nice httptumblrcomx6t1pi6av7,iPad or iPhone App,Positive emotion
really enjoying changes gowalla 30 android looking forward seeing else amp foursquare sleeves sxsw,Android App,Positive emotion
