tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
wesley83 3g iphone 3 hrs tweeting riseaustin dead need upgrade plugin stations sxsw,iPhone,Negative emotion
sxsw hope years festival isnt crashy years iphone app sxsw,iPad or iPhone App,Negative emotion
noticed dst coming weekend many iphone users hour late sxsw come sunday morning sxsw iphone,iPhone,Negative emotion
mention false alarm google circles coming now\x89ûòand probably ever link google circles social sxsw,Google,Negative emotion
rt mention line apple store insane sxsw,,Negative emotion
attending mention ipad design headaches sxsw link,iPad,Negative emotion
boooo rt mention flipboard developing iphone version android says mention sxsw,,Negative emotion
mention sxsw provide iphone chargers ive changed mind going next year,iPhone,Negative emotion
know quotdatavizquot translates quotsatanicquot iphone im sayin sxsw,,Negative emotion
seriously sxsw testing mobile apps constant ipad crashes causing lost schedules sync wp7,iPad or iPhone App,Negative emotion
ipad2 sxswa conflagration doofusness link,iPad,Negative emotion
spent 1000 come sxsw youve already used ipad 1 wait couple city blocks ipad2 sxsw link,iPad,Negative emotion
im 2 ipad 2s seen wild people say fast still pics terrible sxsw,iPad,Negative emotion
iphone alarms botch timechange many sxswers freak late flights missed panels behind bloody marys,iPhone,Negative emotion
meant also wish sxsw dyac stupid iphone,iPhone,Negative emotion
found app kyping iphones geolocation amp releasing background need patch mention batterykiller sxsw,iPad or iPhone App,Negative emotion
course apple built temp store austin texas understand concept corralling cattle sxsw pickmeupanipad2,Apple,Negative emotion
\x89ûïmention apple opening temporary store downtown austin sxsw ipad 2 launchquot oh yay traffic,Apple,Negative emotion
quotthe apple store mall sunday 10x crowded line fake need fucking donglequot genius let sxsw,Apple,Negative emotion
ipad news apps last year sxsw link,iPad or iPhone App,Negative emotion
overheard sxsw interactive quotarg hate iphone want blackberry backquot shocked,iPhone,Negative emotion
\x89ûïmention sxsw quotapple comes cool technology ones ever heard dont go conferencesquot\x89û\x9d,Apple,Negative emotion
overheard mdw ill second quothalfway iphone battery already havent even boarded plane sxswquot amateurhour,iPhone,Negative emotion
took away lego pit replaced recharging station sxsw might check prices iphone crap samsung android,Android,Negative emotion
mention bad apple shows late qs process poopoos ideas leaves early even quotim creativequot busy gamestorming sxsw,Apple,Negative emotion
trying balance power power needs iphone vs ipad sxsw 3g ipad sucks quick might go airplane mode,iPad,Negative emotion
iphone battery cant keep tweets thanks apple sxsw precommerce,iPhone,Negative emotion
\x89ûïmention best thing ive heard weekend sxsw quoti gave ipad 2 money japan relief dont need ipad 2quot mention,iPad,Negative emotion
google vs bing bettersearch bing shot success w structured search potentially higher margin cpa model vs google sxsw,Google,Negative emotion
