tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
teachntech00 new ipad apps speechtherapy communication showcased sxsw conference httphtly49n4m iear edchat asd,,No emotion toward brand or product
nan,,No emotion toward brand or product
holler gram ipad itunes app store httptcokfn3f5q via marcisken sxsw,,No emotion toward brand or product
attn sxsw frineds mention register gdgtlive see cobra iradar android link,,No emotion toward brand or product
anyone sxsw want sell old ipad,,No emotion toward brand or product
anyone sxsw bought new ipad want sell older ipad,,No emotion toward brand or product
sxsw oooh rt mention google launch major new social network called circles possibly today link,,No emotion toward brand or product
spin play new concept music discovery ipad mention amp spincom link itunes sxsw mention,,No emotion toward brand or product
vatornews google apple force print media evolve link sxsw,,No emotion toward brand or product
hootsuite hootsuite mobile sxsw updates iphone blackberry amp android whether you\x89ûªre getting friend link,,No emotion toward brand or product
hey sxsw long think takes us make iphone case answer mention using zazzlesxsw we\x89ûªll make one,,No emotion toward brand or product
mashable ipad 2 takes sxsw video ipad sxsw gadgets link,,No emotion toward brand or product
ipad rt mention new ubersocial iphone app store includes uberguide sxsw sponsored link,,No emotion toward brand or product
orly \x89ûïmention google set launch new social network circles today sxsw\x89û\x9d,,No emotion toward brand or product
khoi vinh mention says conde nasts headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw,,No emotion toward brand or product
\x89ûïmention link lt help forward doc anonymous accounts techiesamp ppl help us jam libya sxsw,,No emotion toward brand or product
\x89÷¼ \x89÷ link \x89ã edchat musedchat sxsw sxswi classical newtwitter,,No emotion toward brand or product
mention mention locationbased fast fun future link via mention sxsw,,No emotion toward brand or product
\x89ûïmention mention google connect digital amp physical worlds mobile link sxsw\x89û\x9d mention,,No emotion toward brand or product
link rt mention quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw,,No emotion toward brand or product
link rt mention sxsw check holler gram ipad app mention link,,No emotion toward brand or product
mention mention amp mention fun google pic sxsw link,,No emotion toward brand or product
quotvia mention link guy kawasaki talks enchanted sxsw knows stuff books internet apple sxsw quot,,No emotion toward brand or product
futuremf mention link spec recipes web google search link sxsw,,No emotion toward brand or product
smile rt mention think apples quotpopup storequot austin would lot interesting actually know popped sxsw,Apple,No emotion toward brand or product
agree rt mention wait fiona apple town somebody kidnap put recording studio records new album sxsw,,No emotion toward brand or product
sxsw mention mention wan na buy drink 7pm fado 4th link join us,,No emotion toward brand or product
check rt mention giving added value location based services needs battle checkin fatigue google pnid sxsw,,No emotion toward brand or product
chilcott mention sxsw stand talking blogger staff late win competition best tweet mentioning mention tshirt,,No emotion toward brand or product
gowallas mention promises launch foursquare checkin groupon rewardstype service sxsw fingers crossed link,,No emotion toward brand or product
haha rt mention sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name,,No emotion toward brand or product
worship mention link sxsw,,No emotion toward brand or product
ipad2 rt mention droid amp mac rt mention agnerd confession using laptop ipad amp blackberry follow sxsw,,No emotion toward brand or product
launching mention sxsw rt mention mention denies social network called circles debut today despite report link,,No emotion toward brand or product
nice rt mention apple opening popup store ipad launch downtown austin sxsw link via mention,,No emotion toward brand or product
stay tune mention showcase h4ckers link sxsw,,No emotion toward brand or product
thank mention mention touchingstories preso sxsw heres deck link,,No emotion toward brand or product
thank mention awesome sxsw party link,,No emotion toward brand or product
thanks rt mention youre trying contact friends family japan mention created person finder link sxsw,,No emotion toward brand or product
thanks mention publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth,,No emotion toward brand or product
wonder mention amp mention apple flashmob tcrnchfcs45j sxsw ipad2,,No emotion toward brand or product
wonder mention putting tips mention api sxsw suxsw,,No emotion toward brand or product
yes rt mention hey mention ive got another gem gt free mention sxsw link sxsw,,No emotion toward brand or product
gsdampm amp googles industry party tonight mention see u link sxsw austin welivehere gsdm,,No emotion toward brand or product
new buzz quotmention google launch major new social network called circles possibly today link rt mention sxswquot,,No emotion toward brand or product
mention quotgoogle launched checkins month agoquot check ins ok check outs future sxsw bizzy via mention,,No emotion toward brand or product
